Date,Location,Team,Opponent,Singles,Doubles,Triples,Home Runs,Total Bases
2023-07-09,Oracle Park,Colorado Rockies,San Francisco Giants,5,2,0,0,9
2023-07-09,Chase Field,Arizona Diamondbacks,Pittsburgh Pirates,1,2,0,1,9
2023-07-09,Chase Field,Pittsburgh Pirates,Arizona Diamondbacks,4,1,0,1,10
2023-07-09,Petco Park,San Diego Padres,New York Mets,5,2,0,2,17
2023-07-09,Petco Park,New York Mets,San Diego Padres,3,2,0,0,7
2023-07-11,T-Mobile Park,American League All-Stars,National League All-Stars,4,2,0,1,12
2023-07-11,T-Mobile Park,National League All-Stars,American League All-Stars,7,1,0,1,13
2023-07-14,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,3,3,0,1,13
2023-07-14,Citizens Bank Park,San Diego Padres,Philadelphia Phillies,4,3,0,4,26
2023-07-14,PNC Park,Pittsburgh Pirates,San Francisco Giants,7,0,0,1,11
2023-07-14,PNC Park,San Francisco Giants,Pittsburgh Pirates,7,3,0,0,13
2023-07-14,Busch Stadium,St. Louis Cardinals,Washington Nationals,2,1,0,3,16
2023-07-14,Busch Stadium,Washington Nationals,St. Louis Cardinals,7,1,0,0,9
2023-07-14,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,6,2,0,3,22
2023-07-14,Oriole Park at Camden Yards,Miami Marlins,Baltimore Orioles,3,1,0,1,9
2023-07-14,Rogers Centre,Toronto Blue Jays,Arizona Diamondbacks,12,3,0,1,22
2023-07-14,Rogers Centre,Arizona Diamondbacks,Toronto Blue Jays,6,2,0,1,14
2023-07-14,Citi Field,New York Mets,Los Angeles Dodgers,0,1,0,0,2
2023-07-14,Citi Field,Los Angeles Dodgers,New York Mets,4,2,0,1,12
2023-07-14,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2,0,0,0,2
2023-07-14,Great American Ball Park,Milwaukee Brewers,Cincinnati Reds,4,2,0,0,8
2023-07-14,Truist Park,Atlanta Braves,Chicago White Sox,4,3,0,1,14
2023-07-14,Truist Park,Chicago White Sox,Atlanta Braves,5,0,0,0,5
2023-07-14,Wrigley Field,Chicago Cubs,Boston Red Sox,5,2,0,2,17
2023-07-14,Wrigley Field,Boston Red Sox,Chicago Cubs,6,1,0,6,32
2023-07-14,Globe Life Field,Texas Rangers,Cleveland Guardians,9,4,0,4,33
2023-07-14,Globe Life Field,Cleveland Guardians,Texas Rangers,6,0,0,2,14
2023-07-14,Coors Field,Colorado Rockies,New York Yankees,3,1,0,3,17
2023-07-14,Coors Field,New York Yankees,Colorado Rockies,6,1,0,1,12
2023-07-14,Angel Stadium,Los Angeles Angels,Houston Astros,10,1,0,1,16
2023-07-14,Angel Stadium,Houston Astros,Los Angeles Angels,8,2,0,0,12
2023-07-14,Oakland Coliseum,Oakland Athletics,Minnesota Twins,3,3,1,0,12
2023-07-14,Oakland Coliseum,Minnesota Twins,Oakland Athletics,5,3,1,1,18
2023-07-14,T-Mobile Park,Seattle Mariners,Detroit Tigers,3,2,0,1,11
2023-07-14,T-Mobile Park,Detroit Tigers,Seattle Mariners,3,0,0,3,15
2023-07-15,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,5,1,0,1,11
2023-07-15,Kauffman Stadium,Tampa Bay Rays,Kansas City Royals,4,1,0,3,18
2023-07-15,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,8,1,0,1,14
2023-07-15,Citizens Bank Park,San Diego Padres,Philadelphia Phillies,6,1,0,2,16
2023-07-15,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,8,2,0,2,20
2023-07-15,Citizens Bank Park,San Diego Padres,Philadelphia Phillies,4,1,0,0,6
2023-07-15,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,5,1,0,1,11
2023-07-15,Kauffman Stadium,Tampa Bay Rays,Kansas City Royals,4,1,0,3,18
2023-07-15,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,5,2,0,0,9
2023-07-15,Kauffman Stadium,Tampa Bay Rays,Kansas City Royals,7,2,2,0,17
2023-07-14,Busch Stadium,St. Louis Cardinals,Washington Nationals,2,1,0,3,16
2023-07-14,Busch Stadium,Washington Nationals,St. Louis Cardinals,7,1,0,0,9
2023-07-15,Wrigley Field,Chicago Cubs,Boston Red Sox,9,1,0,2,19
2023-07-15,Wrigley Field,Boston Red Sox,Chicago Cubs,1,4,0,1,13
2023-07-15,Rogers Centre,Toronto Blue Jays,Arizona Diamondbacks,4,2,0,2,16
2023-07-15,Rogers Centre,Arizona Diamondbacks,Toronto Blue Jays,9,1,0,0,11
2023-07-15,Globe Life Field,Texas Rangers,Cleveland Guardians,4,1,0,0,6
2023-07-15,Globe Life Field,Cleveland Guardians,Texas Rangers,6,2,0,0,10
2023-07-15,PNC Park,Pittsburgh Pirates,San Francisco Giants,5,1,0,1,11
2023-07-15,PNC Park,San Francisco Giants,Pittsburgh Pirates,2,0,0,1,6
2023-07-15,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,7,2,1,1,18
2023-07-15,Oriole Park at Camden Yards,Miami Marlins,Baltimore Orioles,9,1,1,0,14
2023-07-15,Oakland Coliseum,Oakland Athletics,Minnesota Twins,7,0,1,2,18
2023-07-15,Oakland Coliseum,Minnesota Twins,Oakland Athletics,6,2,1,2,21
2023-07-15,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,1,0,0,0,1
2023-07-15,Great American Ball Park,Milwaukee Brewers,Cincinnati Reds,4,0,0,3,16
2023-07-15,Citi Field,New York Mets,Los Angeles Dodgers,2,0,0,1,6
2023-07-15,Citi Field,Los Angeles Dodgers,New York Mets,9,1,0,1,15
2023-07-15,Busch Stadium,St. Louis Cardinals,Washington Nationals,12,2,1,2,27
2023-07-15,Busch Stadium,Washington Nationals,St. Louis Cardinals,4,5,0,2,22
2023-07-15,Truist Park,Atlanta Braves,Chicago White Sox,6,1,1,3,23
2023-07-15,Truist Park,Chicago White Sox,Atlanta Braves,6,4,0,1,18
2023-07-15,Coors Field,Colorado Rockies,New York Yankees,2,3,0,1,12
2023-07-15,Coors Field,New York Yankees,Colorado Rockies,4,2,1,1,15
2023-07-15,Angel Stadium,Los Angeles Angels,Houston Astros,9,2,0,4,29
2023-07-15,Angel Stadium,Houston Astros,Los Angeles Angels,12,2,0,2,24
2023-07-15,T-Mobile Park,Seattle Mariners,Detroit Tigers,2,1,0,0,4
2023-07-15,T-Mobile Park,Detroit Tigers,Seattle Mariners,5,2,0,2,17
2023-07-16,PNC Park,Pittsburgh Pirates,San Francisco Giants,6,2,0,0,10
2023-07-16,PNC Park,San Francisco Giants,Pittsburgh Pirates,7,2,0,0,11
2023-07-16,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,5,2,1,2,20
2023-07-16,Citizens Bank Park,San Diego Padres,Philadelphia Phillies,1,4,0,2,17
2023-07-16,Truist Park,Atlanta Braves,Chicago White Sox,5,0,0,0,5
2023-07-16,Truist Park,Chicago White Sox,Atlanta Braves,11,1,0,2,21
2023-07-16,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,2,2,0,1,10
2023-07-16,Oriole Park at Camden Yards,Miami Marlins,Baltimore Orioles,4,4,0,0,12
2023-07-16,Rogers Centre,Toronto Blue Jays,Arizona Diamondbacks,8,4,0,0,16
2023-07-16,Rogers Centre,Arizona Diamondbacks,Toronto Blue Jays,2,2,0,0,6
2023-07-16,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,4,2,0,1,12
2023-07-16,Great American Ball Park,Milwaukee Brewers,Cincinnati Reds,7,1,0,1,13
2023-07-16,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,5,1,2,3,25
2023-07-16,Kauffman Stadium,Tampa Bay Rays,Kansas City Royals,4,1,0,2,14
2023-07-16,Busch Stadium,St. Louis Cardinals,Washington Nationals,9,2,0,2,21
2023-07-16,Busch Stadium,Washington Nationals,St. Louis Cardinals,0,2,1,1,11
2023-07-16,Wrigley Field,Chicago Cubs,Boston Red Sox,4,0,1,0,7
2023-07-16,Wrigley Field,Boston Red Sox,Chicago Cubs,7,2,1,3,26
2023-07-16,Globe Life Field,Texas Rangers,Cleveland Guardians,6,1,0,1,12
2023-07-16,Globe Life Field,Cleveland Guardians,Texas Rangers,5,2,0,2,17
2023-07-16,Coors Field,Colorado Rockies,New York Yankees,4,0,0,4,20
2023-07-16,Coors Field,New York Yankees,Colorado Rockies,9,0,0,0,9
2023-07-16,Oakland Coliseum,Oakland Athletics,Minnesota Twins,3,3,0,1,13
2023-07-16,Oakland Coliseum,Minnesota Twins,Oakland Athletics,3,1,0,2,13
2023-07-16,T-Mobile Park,Seattle Mariners,Detroit Tigers,2,3,0,1,12
2023-07-16,T-Mobile Park,Detroit Tigers,Seattle Mariners,5,1,0,0,7
2023-07-16,Citi Field,New York Mets,Los Angeles Dodgers,4,2,0,0,8
2023-07-16,Citi Field,Los Angeles Dodgers,New York Mets,3,1,0,0,5
2023-07-16,Angel Stadium,Los Angeles Angels,Houston Astros,4,3,0,2,18
2023-07-16,Angel Stadium,Houston Astros,Los Angeles Angels,9,2,0,5,33
2023-07-17,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Dodgers,3,2,1,1,14
2023-07-17,Oriole Park at Camden Yards,Los Angeles Dodgers,Baltimore Orioles,8,1,1,1,17
2023-07-17,PNC Park,Pittsburgh Pirates,Cleveland Guardians,2,2,0,0,6
2023-07-17,PNC Park,Cleveland Guardians,Pittsburgh Pirates,4,5,0,3,26
2023-07-17,Great American Ball Park,Cincinnati Reds,San Francisco Giants,1,1,0,2,11
2023-07-17,Great American Ball Park,San Francisco Giants,Cincinnati Reds,0,4,0,2,16
2023-07-17,Busch Stadium,St. Louis Cardinals,Miami Marlins,8,3,0,0,14
2023-07-17,Busch Stadium,Miami Marlins,St. Louis Cardinals,8,2,0,2,20
2023-07-17,Wrigley Field,Chicago Cubs,Washington Nationals,7,0,0,2,15
2023-07-17,Wrigley Field,Washington Nationals,Chicago Cubs,6,3,0,2,20
2023-07-17,Globe Life Field,Texas Rangers,Tampa Bay Rays,3,2,0,1,11
2023-07-17,Globe Life Field,Tampa Bay Rays,Texas Rangers,4,0,0,1,8
2023-07-17,Kauffman Stadium,Kansas City Royals,Detroit Tigers,6,0,0,0,6
2023-07-17,Kauffman Stadium,Detroit Tigers,Kansas City Royals,3,2,0,0,7
2023-07-17,Angel Stadium,Los Angeles Angels,New York Yankees,5,2,0,2,17
2023-07-17,Angel Stadium,New York Yankees,Los Angeles Angels,7,1,0,0,9
2023-07-17,Oakland Coliseum,Oakland Athletics,Boston Red Sox,1,0,0,0,1
2023-07-17,Oakland Coliseum,Boston Red Sox,Oakland Athletics,5,5,0,0,15
2023-07-17,T-Mobile Park,Seattle Mariners,Minnesota Twins,5,1,0,1,11
2023-07-17,T-Mobile Park,Minnesota Twins,Seattle Mariners,7,3,0,2,21
2023-07-17,Great American Ball Park,Cincinnati Reds,San Francisco Giants,1,1,0,2,11
2023-07-17,Great American Ball Park,San Francisco Giants,Cincinnati Reds,0,4,0,2,16
2023-07-18,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,9,1,1,1,18
2023-07-18,Citizens Bank Park,Milwaukee Brewers,Philadelphia Phillies,3,1,0,0,5
2023-07-18,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Dodgers,6,3,0,0,12
2023-07-18,Oriole Park at Camden Yards,Los Angeles Dodgers,Baltimore Orioles,10,2,0,1,18
2023-07-18,PNC Park,Pittsburgh Pirates,Cleveland Guardians,4,0,0,1,8
2023-07-18,PNC Park,Cleveland Guardians,Pittsburgh Pirates,8,2,0,3,24
2023-07-18,Rogers Centre,Toronto Blue Jays,San Diego Padres,6,0,0,0,6
2023-07-18,Rogers Centre,San Diego Padres,Toronto Blue Jays,2,3,0,4,24
2023-07-18,Citi Field,New York Mets,Chicago White Sox,4,2,0,4,24
2023-07-18,Citi Field,Chicago White Sox,New York Mets,8,3,0,1,18
2023-07-18,Truist Park,Atlanta Braves,Arizona Diamondbacks,4,4,0,3,24
2023-07-18,Truist Park,Arizona Diamondbacks,Atlanta Braves,9,3,1,3,30
2023-07-18,Busch Stadium,St. Louis Cardinals,Miami Marlins,3,1,0,2,13
2023-07-18,Busch Stadium,Miami Marlins,St. Louis Cardinals,10,0,1,0,13
2023-07-18,Wrigley Field,Chicago Cubs,Washington Nationals,17,1,0,2,27
2023-07-18,Wrigley Field,Washington Nationals,Chicago Cubs,6,2,0,1,14
2023-07-18,Globe Life Field,Texas Rangers,Tampa Bay Rays,5,1,0,2,15
2023-07-18,Globe Life Field,Tampa Bay Rays,Texas Rangers,2,2,0,2,14
2023-07-18,Kauffman Stadium,Kansas City Royals,Detroit Tigers,5,6,2,0,23
2023-07-18,Kauffman Stadium,Detroit Tigers,Kansas City Royals,7,2,0,2,19
2023-07-18,Coors Field,Colorado Rockies,Houston Astros,3,1,1,2,16
2023-07-18,Coors Field,Houston Astros,Colorado Rockies,5,3,0,0,11
2023-07-18,Angel Stadium,Los Angeles Angels,New York Yankees,3,0,1,1,10
2023-07-18,Angel Stadium,New York Yankees,Los Angeles Angels,1,0,0,1,5
2023-07-18,Oakland Coliseum,Oakland Athletics,Boston Red Sox,1,3,1,2,18
2023-07-18,Oakland Coliseum,Boston Red Sox,Oakland Athletics,3,2,0,0,7
2023-07-18,T-Mobile Park,Seattle Mariners,Minnesota Twins,5,3,0,1,15
2023-07-18,T-Mobile Park,Minnesota Twins,Seattle Mariners,8,1,1,4,29
2023-07-18,Great American Ball Park,Cincinnati Reds,San Francisco Giants,9,1,0,4,27
2023-07-18,Great American Ball Park,San Francisco Giants,Cincinnati Reds,8,1,0,2,18
2023-07-19,PNC Park,Pittsburgh Pirates,Cleveland Guardians,8,1,0,0,10
2023-07-19,PNC Park,Cleveland Guardians,Pittsburgh Pirates,6,3,0,1,16
2023-07-19,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Dodgers,4,5,0,1,18
2023-07-19,Oriole Park at Camden Yards,Los Angeles Dodgers,Baltimore Orioles,4,1,0,2,14
2023-07-19,Globe Life Field,Texas Rangers,Tampa Bay Rays,5,2,0,2,17
2023-07-19,Globe Life Field,Tampa Bay Rays,Texas Rangers,8,1,0,1,14
2023-07-19,Busch Stadium,St. Louis Cardinals,Miami Marlins,9,1,0,1,15
2023-07-19,Busch Stadium,Miami Marlins,St. Louis Cardinals,9,2,0,1,17
2023-07-19,Coors Field,Colorado Rockies,Houston Astros,1,0,0,1,5
2023-07-19,Coors Field,Houston Astros,Colorado Rockies,5,2,0,1,13
2023-07-19,Oakland Coliseum,Oakland Athletics,Boston Red Sox,5,2,0,3,21
2023-07-19,Oakland Coliseum,Boston Red Sox,Oakland Athletics,4,1,0,1,10
2023-07-19,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,5,1,0,1,11
2023-07-19,Citizens Bank Park,Milwaukee Brewers,Philadelphia Phillies,5,5,0,0,15
2023-07-19,Rogers Centre,Toronto Blue Jays,San Diego Padres,6,0,0,0,6
2023-07-19,Rogers Centre,San Diego Padres,Toronto Blue Jays,7,1,0,0,9
2023-07-19,Angel Stadium,Los Angeles Angels,New York Yankees,3,1,0,2,13
2023-07-19,Angel Stadium,New York Yankees,Los Angeles Angels,5,1,0,2,15
2023-07-19,Great American Ball Park,Cincinnati Reds,San Francisco Giants,2,1,0,1,8
2023-07-19,Great American Ball Park,San Francisco Giants,Cincinnati Reds,4,1,0,1,10
2023-07-19,Citi Field,New York Mets,Chicago White Sox,3,1,0,1,9
2023-07-19,Citi Field,Chicago White Sox,New York Mets,2,0,0,1,6
2023-07-19,Truist Park,Atlanta Braves,Arizona Diamondbacks,0,1,1,2,13
2023-07-19,Truist Park,Arizona Diamondbacks,Atlanta Braves,5,4,0,0,13
2023-07-19,Wrigley Field,Chicago Cubs,Washington Nationals,6,3,0,2,20
2023-07-19,Wrigley Field,Washington Nationals,Chicago Cubs,8,1,0,1,14
2023-07-19,Kauffman Stadium,Kansas City Royals,Detroit Tigers,3,2,0,0,7
2023-07-19,Kauffman Stadium,Detroit Tigers,Kansas City Royals,6,1,0,1,12
2023-07-19,T-Mobile Park,Seattle Mariners,Minnesota Twins,3,0,0,2,11
2023-07-19,T-Mobile Park,Minnesota Twins,Seattle Mariners,6,0,0,3,18
2023-07-20,Truist Park,Atlanta Braves,Arizona Diamondbacks,1,2,1,4,24
2023-07-20,Truist Park,Arizona Diamondbacks,Atlanta Braves,2,0,1,3,17
2023-07-20,Great American Ball Park,Cincinnati Reds,San Francisco Giants,7,4,0,1,19
2023-07-20,Great American Ball Park,San Francisco Giants,Cincinnati Reds,0,1,0,1,6
2023-07-20,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,2,0,0,0,2
2023-07-20,Citizens Bank Park,Milwaukee Brewers,Philadelphia Phillies,5,2,0,1,13
2023-07-20,Rogers Centre,Toronto Blue Jays,San Diego Padres,7,0,0,2,15
2023-07-20,Rogers Centre,San Diego Padres,Toronto Blue Jays,6,0,0,0,6
2023-07-20,Citi Field,New York Mets,Chicago White Sox,2,1,0,1,8
2023-07-20,Citi Field,Chicago White Sox,New York Mets,6,2,1,0,13
2023-07-20,Kauffman Stadium,Kansas City Royals,Detroit Tigers,2,2,0,0,6
2023-07-20,Kauffman Stadium,Detroit Tigers,Kansas City Royals,5,0,1,0,8
2023-07-20,T-Mobile Park,Seattle Mariners,Minnesota Twins,5,1,0,2,15
2023-07-20,T-Mobile Park,Minnesota Twins,Seattle Mariners,4,0,1,0,7
2023-07-20,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,7,2,0,0,11
2023-07-20,Tropicana Field,Baltimore Orioles,Tampa Bay Rays,5,0,1,0,8
2023-07-20,Wrigley Field,Chicago Cubs,St. Louis Cardinals,2,2,2,0,12
2023-07-20,Wrigley Field,St. Louis Cardinals,Chicago Cubs,4,4,0,2,20
2023-07-20,Oakland Coliseum,Oakland Athletics,Houston Astros,4,2,0,0,8
2023-07-20,Oakland Coliseum,Houston Astros,Oakland Athletics,3,1,0,1,9
2023-07-21,Wrigley Field,Chicago Cubs,St. Louis Cardinals,5,2,0,2,17
2023-07-21,Wrigley Field,St. Louis Cardinals,Chicago Cubs,7,0,0,0,7
2023-07-21,Comerica Park,Detroit Tigers,San Diego Padres,5,0,1,2,16
2023-07-21,Comerica Park,San Diego Padres,Detroit Tigers,4,2,1,2,19
2023-07-21,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,3,2,0,2,15
2023-07-21,Tropicana Field,Baltimore Orioles,Tampa Bay Rays,1,1,0,0,3
2023-07-21,loanDepot park,Miami Marlins,Colorado Rockies,6,1,0,0,8
2023-07-21,loanDepot park,Colorado Rockies,Miami Marlins,5,1,0,3,19
2023-07-21,Nationals Park,Washington Nationals,San Francisco Giants,2,3,0,2,16
2023-07-21,Nationals Park,San Francisco Giants,Washington Nationals,3,0,0,2,11
2023-07-21,Yankee Stadium,New York Yankees,Kansas City Royals,2,0,0,3,14
2023-07-21,Yankee Stadium,Kansas City Royals,New York Yankees,4,3,0,2,18
2023-07-21,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,6,2,0,1,14
2023-07-21,Great American Ball Park,Arizona Diamondbacks,Cincinnati Reds,2,1,1,3,19
2023-07-21,Fenway Park,Boston Red Sox,New York Mets,6,1,1,0,11
2023-07-21,Fenway Park,New York Mets,Boston Red Sox,8,3,0,2,22
2023-07-21,Progressive Field,Cleveland Guardians,Philadelphia Phillies,10,3,0,0,16
2023-07-21,Progressive Field,Philadelphia Phillies,Cleveland Guardians,5,0,1,2,16
2023-07-21,Globe Life Field,Texas Rangers,Los Angeles Dodgers,0,2,0,2,12
2023-07-21,Globe Life Field,Los Angeles Dodgers,Texas Rangers,8,4,0,1,20
2023-07-21,Target Field,Minnesota Twins,Chicago White Sox,4,1,0,4,22
2023-07-21,Target Field,Chicago White Sox,Minnesota Twins,4,2,0,2,16
2023-07-21,American Family Field,Milwaukee Brewers,Atlanta Braves,3,2,0,1,11
2023-07-21,American Family Field,Atlanta Braves,Milwaukee Brewers,3,1,0,2,13
2023-07-21,Angel Stadium,Los Angeles Angels,Pittsburgh Pirates,1,1,0,4,19
2023-07-21,Angel Stadium,Pittsburgh Pirates,Los Angeles Angels,3,1,0,4,21
2023-07-21,Oakland Coliseum,Oakland Athletics,Houston Astros,5,2,0,0,9
2023-07-21,Oakland Coliseum,Houston Astros,Oakland Athletics,5,0,0,4,21
2023-07-21,T-Mobile Park,Seattle Mariners,Toronto Blue Jays,8,2,0,0,12
2023-07-21,T-Mobile Park,Toronto Blue Jays,Seattle Mariners,5,0,0,1,9
2023-07-22,Yankee Stadium,New York Yankees,Kansas City Royals,5,1,0,2,15
2023-07-22,Yankee Stadium,Kansas City Royals,New York Yankees,6,0,0,1,10
2023-07-22,loanDepot park,Miami Marlins,Colorado Rockies,7,1,1,0,12
2023-07-22,loanDepot park,Colorado Rockies,Miami Marlins,4,1,0,1,10
2023-07-21,Fenway Park,Boston Red Sox,New York Mets,6,1,1,0,11
2023-07-21,Fenway Park,New York Mets,Boston Red Sox,8,3,0,2,22
2023-07-22,Wrigley Field,Chicago Cubs,St. Louis Cardinals,12,3,0,0,18
2023-07-22,Wrigley Field,St. Louis Cardinals,Chicago Cubs,6,2,0,2,18
2023-07-22,Globe Life Field,Texas Rangers,Los Angeles Dodgers,6,1,1,1,15
2023-07-22,Globe Life Field,Los Angeles Dodgers,Texas Rangers,10,3,0,5,36
2023-07-22,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,2,1,0,3,16
2023-07-22,Great American Ball Park,Arizona Diamondbacks,Cincinnati Reds,1,3,0,1,11
2023-07-22,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,6,1,0,0,8
2023-07-22,Tropicana Field,Baltimore Orioles,Tampa Bay Rays,4,3,0,0,10
2023-07-22,T-Mobile Park,Seattle Mariners,Toronto Blue Jays,2,3,0,4,24
2023-07-22,T-Mobile Park,Toronto Blue Jays,Seattle Mariners,10,1,0,3,24
2023-07-22,Comerica Park,Detroit Tigers,San Diego Padres,7,1,0,0,9
2023-07-22,Comerica Park,San Diego Padres,Detroit Tigers,11,3,1,3,32
2023-07-22,Nationals Park,Washington Nationals,San Francisco Giants,11,1,1,1,20
2023-07-22,Nationals Park,San Francisco Giants,Washington Nationals,3,2,0,0,7
2023-07-22,Fenway Park,Boston Red Sox,New York Mets,5,0,0,5,25
2023-07-22,Fenway Park,New York Mets,Boston Red Sox,6,1,1,0,11
2023-07-22,Progressive Field,Cleveland Guardians,Philadelphia Phillies,5,0,0,0,5
2023-07-22,Progressive Field,Philadelphia Phillies,Cleveland Guardians,1,1,0,0,3
2023-07-22,Target Field,Minnesota Twins,Chicago White Sox,3,3,0,0,9
2023-07-22,Target Field,Chicago White Sox,Minnesota Twins,9,1,0,0,11
2023-07-22,American Family Field,Milwaukee Brewers,Atlanta Braves,6,2,0,0,10
2023-07-22,American Family Field,Atlanta Braves,Milwaukee Brewers,6,0,0,1,10
2023-07-22,Oakland Coliseum,Oakland Athletics,Houston Astros,4,0,0,2,12
2023-07-22,Oakland Coliseum,Houston Astros,Oakland Athletics,4,1,0,1,10
2023-07-22,Angel Stadium,Los Angeles Angels,Pittsburgh Pirates,4,1,0,0,6
2023-07-22,Angel Stadium,Pittsburgh Pirates,Los Angeles Angels,3,3,0,1,13
2023-07-23,Comerica Park,Detroit Tigers,San Diego Padres,6,0,0,2,14
2023-07-23,Comerica Park,San Diego Padres,Detroit Tigers,1,2,0,0,5
2023-07-23,Nationals Park,Washington Nationals,San Francisco Giants,8,2,0,1,16
2023-07-23,Nationals Park,San Francisco Giants,Washington Nationals,4,1,0,1,10
2023-07-23,Yankee Stadium,New York Yankees,Kansas City Royals,7,2,0,2,19
2023-07-23,Yankee Stadium,Kansas City Royals,New York Yankees,6,2,0,4,26
2023-07-23,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,10,1,0,2,20
2023-07-23,Great American Ball Park,Arizona Diamondbacks,Cincinnati Reds,7,1,1,1,16
2023-07-23,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,2,0,0,1,6
2023-07-23,Tropicana Field,Baltimore Orioles,Tampa Bay Rays,3,3,0,2,17
2023-07-23,Progressive Field,Cleveland Guardians,Philadelphia Phillies,6,0,0,3,18
2023-07-23,Progressive Field,Philadelphia Phillies,Cleveland Guardians,6,1,1,0,11
2023-07-23,loanDepot park,Miami Marlins,Colorado Rockies,5,2,0,0,9
2023-07-23,loanDepot park,Colorado Rockies,Miami Marlins,4,1,0,2,14
2023-07-23,Target Field,Minnesota Twins,Chicago White Sox,9,4,0,0,17
2023-07-23,Target Field,Chicago White Sox,Minnesota Twins,8,1,0,2,18
2023-07-23,American Family Field,Milwaukee Brewers,Atlanta Braves,6,0,0,1,10
2023-07-23,American Family Field,Atlanta Braves,Milwaukee Brewers,3,2,0,2,15
2023-07-23,Wrigley Field,Chicago Cubs,St. Louis Cardinals,3,3,0,1,13
2023-07-23,Wrigley Field,St. Louis Cardinals,Chicago Cubs,8,1,0,0,10
2023-07-23,Globe Life Field,Texas Rangers,Los Angeles Dodgers,5,4,0,0,13
2023-07-23,Globe Life Field,Los Angeles Dodgers,Texas Rangers,4,3,0,1,14
2023-07-23,Oakland Coliseum,Oakland Athletics,Houston Astros,4,2,0,1,12
2023-07-23,Oakland Coliseum,Houston Astros,Oakland Athletics,3,0,0,2,11
2023-07-23,Angel Stadium,Los Angeles Angels,Pittsburgh Pirates,4,2,0,4,24
2023-07-23,Angel Stadium,Pittsburgh Pirates,Los Angeles Angels,6,3,0,1,16
2023-07-23,T-Mobile Park,Seattle Mariners,Toronto Blue Jays,4,0,0,1,8
2023-07-23,T-Mobile Park,Toronto Blue Jays,Seattle Mariners,3,1,0,2,13
2023-07-23,Fenway Park,Boston Red Sox,New York Mets,12,2,0,1,20
2023-07-23,Fenway Park,New York Mets,Boston Red Sox,6,0,0,0,6
2023-07-24,Comerica Park,Detroit Tigers,San Francisco Giants,9,2,0,1,17
2023-07-24,Comerica Park,San Francisco Giants,Detroit Tigers,3,0,0,1,7
2023-07-24,Citizens Bank Park,Philadelphia Phillies,Baltimore Orioles,7,0,0,0,7
2023-07-24,Citizens Bank Park,Baltimore Orioles,Philadelphia Phillies,2,1,0,2,12
2023-07-24,Nationals Park,Washington Nationals,Colorado Rockies,3,3,0,1,13
2023-07-24,Nationals Park,Colorado Rockies,Washington Nationals,13,2,0,1,21
2023-07-24,Progressive Field,Cleveland Guardians,Kansas City Royals,7,3,0,0,13
2023-07-24,Progressive Field,Kansas City Royals,Cleveland Guardians,3,2,0,2,15
2023-07-24,Target Field,Minnesota Twins,Seattle Mariners,5,2,1,0,12
2023-07-24,Target Field,Seattle Mariners,Minnesota Twins,5,2,0,2,17
2023-07-24,Minute Maid Park,Houston Astros,Texas Rangers,6,2,0,1,14
2023-07-24,Minute Maid Park,Texas Rangers,Houston Astros,8,0,0,2,16
2023-07-24,American Family Field,Milwaukee Brewers,Cincinnati Reds,5,1,0,1,11
2023-07-24,American Family Field,Cincinnati Reds,Milwaukee Brewers,5,0,0,1,9
2023-07-24,Petco Park,San Diego Padres,Pittsburgh Pirates,2,2,0,2,14
2023-07-24,Petco Park,Pittsburgh Pirates,San Diego Padres,7,2,0,4,27
2023-07-24,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,8,1,0,1,14
2023-07-24,Chase Field,St. Louis Cardinals,Arizona Diamondbacks,8,2,0,2,20
2023-07-24,Dodger Stadium,Los Angeles Dodgers,Toronto Blue Jays,3,2,0,2,15
2023-07-24,Dodger Stadium,Toronto Blue Jays,Los Angeles Dodgers,10,2,0,1,18
